file,sex,age,hairColor,eyeColor,skinTone,faceShape,noseStructure,lipStructure,cheekboneStructure,yaw_error
3856.jpg,male,20-29,black,brown,olive,round,straight,medium,soft,0.045
413.jpg,female,10-19,black,brown,dark,square,straight,medium,soft,0.045
4854.jpg,female,40-49,black,brown,olive,round,straight,medium,soft,0.045
5094.jpg,male,10-19,black,brown,olive,round,straight,medium,soft,0.045
8133.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.045
8958.jpg,male,50-59,black,brown,dark,round,straight,medium,soft,0.045
9607.jpg,male,more than 70,black,brown,brown,square,straight,medium,soft,0.045
5152.jpg,female,40-49,black,brown,brown,round,straight,medium,soft,0.046
5299.jpg,female,20-29,black,brown,medium,square,straight,medium,soft,0.046
7120.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.046
7502.jpg,male,20-29,black,brown,fair,round,straight,medium,soft,0.046
8351.jpg,male,30-39,black,brown,brown,square,straight,medium,soft,0.046
9206.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.046
10710.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.047
10731.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.047
352.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.047
411.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.047
9422.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.047
2776.jpg,female,30-39,black,brown,medium,round,straight,medium,soft,0.048
6468.jpg,male,30-39,black,brown,brown,square,straight,medium,soft,0.048
7318.jpg,male,20-29,black,brown,brown,round,straight,medium,soft,0.048
3786.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.049
7461.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.049
10566.jpg,female,40-49,black,brown,dark,oval,straight,medium,high,0.05
1783.jpg,female,30-39,black,brown,brown,square,straight,medium,soft,0.05
2645.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.05
2703.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.05
4440.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.05
4458.jpg,female,3-9,black,brown,medium,round,straight,medium,soft,0.05
5556.jpg,female,10-19,black,brown,olive,round,straight,medium,soft,0.05
6961.jpg,female,50-59,black,brown,dark,square,straight,medium,soft,0.05
7910.jpg,female,50-59,black,brown,brown,round,straight,medium,soft,0.05
1054.jpg,male,20-29,black,brown,medium,square,straight,medium,soft,0.051
4465.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.051
4784.jpg,female,more than 70,black,brown,fair,round,straight,medium,soft,0.051
6155.jpg,female,30-39,black,brown,medium,round,straight,medium,soft,0.051
9581.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.051
2239.jpg,female,50-59,black,brown,brown,square,straight,medium,soft,0.052
6741.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.052
7571.jpg,male,30-39,black,brown,medium,square,straight,medium,soft,0.052
7831.jpg,male,60-69,black,brown,brown,square,straight,medium,soft,0.052
9993.jpg,male,30-39,black,brown,olive,square,straight,medium,soft,0.052
1594.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.053
1932.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.053
3229.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.053
370.jpg,male,30-39,black,brown,medium,round,straight,medium,soft,0.053
5173.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.053
6309.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.053
6675.jpg,male,20-29,black,brown,brown,round,straight,medium,soft,0.053
816.jpg,male,20-29,black,brown,brown,square,straight,medium,soft,0.053
8874.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.053
6027.jpg,male,50-59,black,brown,dark,square,straight,medium,soft,0.054
7613.jpg,male,more than 70,black,brown,medium,square,straight,medium,soft,0.054
2982.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.055
3776.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.055
4848.jpg,female,30-39,black,brown,fair,square,straight,medium,soft,0.055
4931.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.055
8099.jpg,female,10-19,black,brown,olive,square,straight,medium,soft,0.055
10494.jpg,female,20-29,black,brown,brown,square,straight,medium,soft,0.056
1713.jpg,female,30-39,black,brown,brown,square,straight,medium,soft,0.056
2592.jpg,female,20-29,black,brown,brown,round,straight,medium,soft,0.056
4802.jpg,male,20-29,black,brown,olive,round,straight,medium,soft,0.056
839.jpg,female,50-59,black,brown,olive,round,straight,medium,soft,0.056
2699.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.057
4448.jpg,female,50-59,black,brown,dark,square,straight,medium,soft,0.057
189.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.058
2794.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.058
3093.jpg,female,50-59,black,brown,fair,square,straight,medium,soft,0.058
3781.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.058
8803.jpg,female,20-29,black,brown,olive,square,straight,medium,soft,0.058
9955.jpg,male,60-69,black,brown,dark,square,straight,medium,soft,0.058
10435.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.059
464.jpg,male,40-49,black,brown,olive,square,straight,medium,soft,0.059
6583.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.059
7239.jpg,male,40-49,black,brown,fair,square,straight,medium,soft,0.059
9941.jpg,male,40-49,black,brown,medium,square,straight,medium,soft,0.059
10045.jpg,male,30-39,black,brown,fair,square,straight,medium,soft,0.06
2262.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.06
10414.jpg,male,3-9,black,brown,olive,round,straight,medium,soft,0.061
10840.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.061
4362.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.061
4677.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.061
6830.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.061
1705.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.062
2658.jpg,female,40-49,black,brown,dark,square,straight,medium,soft,0.062
3169.jpg,male,20-29,black,brown,fair,round,straight,medium,soft,0.062
10662.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.063
1077.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.063
1176.jpg,female,60-69,black,brown,olive,round,straight,medium,soft,0.063
2587.jpg,male,10-19,black,brown,dark,square,straight,medium,soft,0.063
8501.jpg,male,60-69,black,brown,brown,square,straight,medium,soft,0.063
8900.jpg,male,40-49,black,brown,brown,round,straight,medium,soft,0.063
9845.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.063
2317.jpg,female,20-29,black,brown,fair,square,straight,medium,soft,0.064
7083.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.064
846.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.064
9063.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.065
908.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.065
10296.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.066
2330.jpg,male,40-49,black,brown,dark,round,straight,medium,soft,0.066
2726.jpg,male,10-19,black,brown,dark,round,straight,medium,soft,0.066
8584.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.066
9277.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.066
9361.jpg,female,40-49,black,brown,medium,square,straight,medium,soft,0.066
10035.jpg,male,20-29,black,brown,fair,square,straight,medium,soft,0.067
204.jpg,male,20-29,black,brown,medium,square,straight,medium,soft,0.067
3570.jpg,male,60-69,black,brown,medium,square,straight,medium,soft,0.067
4104.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.067
5134.jpg,male,30-39,black,brown,fair,square,straight,medium,soft,0.067
6815.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.067
7625.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.067
1184.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.068
453.jpg,female,10-19,black,brown,dark,round,straight,medium,soft,0.068
7272.jpg,male,20-29,black,brown,olive,square,straight,medium,soft,0.068
8827.jpg,female,30-39,black,brown,brown,square,straight,medium,soft,0.068
9157.jpg,male,20-29,black,brown,brown,square,straight,medium,soft,0.068
10833.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.069
2825.jpg,female,20-29,black,brown,dark,square,straight,medium,soft,0.069
2987.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.069
7333.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.069
899.jpg,male,50-59,black,brown,dark,round,straight,medium,soft,0.069
1794.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.07
3547.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.07
3697.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.07
6422.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.07
6500.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.07
7414.jpg,male,10-19,black,brown,brown,round,straight,medium,soft,0.07
7512.jpg,female,10-19,black,brown,fair,square,straight,medium,soft,0.07
9336.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.07
1396.jpg,female,10-19,black,brown,medium,round,straight,medium,soft,0.071
321.jpg,male,20-29,black,brown,brown,round,straight,medium,soft,0.071
4633.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.071
7965.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.071
9890.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.071
4025.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.072
5435.jpg,male,50-59,black,brown,dark,round,straight,medium,soft,0.072
6940.jpg,female,more than 70,black,brown,medium,square,straight,medium,soft,0.072
8028.jpg,female,3-9,black,brown,medium,round,straight,medium,soft,0.072
1042.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.073
6649.jpg,female,3-9,black,brown,dark,round,straight,medium,soft,0.073
8883.jpg,male,0-2,black,brown,dark,round,straight,medium,soft,0.073
4988.jpg,male,30-39,black,brown,medium,square,straight,medium,soft,0.074
2292.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.075
3580.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.075
8916.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.075
